"Title","Year","Venue","Lens","Maturity","Paper URL","Code URL","Why it matters"
"Concept Bottleneck Models","2020","ICML","foundations","established","https://proceedings.mlr.press/v119/koh20a/koh20a.pdf","https://github.com/yewsiang/ConceptBottleneck","Defines the standard CBM pipeline and concept intervention setting."
"Do Concept Bottleneck Models Learn as Intended?","2021","arXiv","concept quality","mature","https://arxiv.org/abs/2105.04289","","Shows that concept accuracy alone does not guarantee intended semantics."
"Concept Embedding Models","2022","NeurIPS","foundations","established","https://papers.nips.cc/paper_files/paper/2022/hash/867c06823281e506e8059f5c13a57f75-Abstract-Conference.html","https://github.com/mateoespinosa/cem","Introduces concept embeddings to improve the accuracy and intervention tradeoff."
"Addressing Leakage in Concept Bottleneck Models","2022","NeurIPS","bottleneck validity","established","https://proceedings.neurips.cc/paper_files/paper/2022/file/944ecf65a46feb578a43abfd5cddd960-Paper-Conference.pdf","","Explains how soft concepts can carry hidden label information."
"Post-hoc Concept Bottleneck Models","2023","ICLR","scaling","established","https://openreview.net/forum?id=nA5AZ8CEyow","https://github.com/mertyg/post-hoc-cbm","Retrofits pretrained models into concept interfaces and supports concept-level editing."
"Label-Free Concept Bottleneck Models","2023","ICLR","scaling","established","https://openreview.net/forum?id=FlCg47MNvBA","https://github.com/Trustworthy-ML-Lab/Label-free-CBM","Builds CBM-like interfaces without dense manual concept labels."
"A Closer Look at the Intervention Procedure of Concept Bottleneck Models","2023","ICML","intervention realism","established","https://proceedings.mlr.press/v202/shin23a.html","","Shows intervention outcomes depend on selection policy and protocol."
"Interactive Concept Bottleneck Models","2023","AAAI","intervention realism","mature","https://doi.org/10.1609/AAAI.V37I5.25736","","Treats CBMs as interactive human-model systems."
"Learning to Receive Help","2023","NeurIPS","intervention realism","mature","https://papers.nips.cc/paper_files/paper/2023/hash/770cabd044c4eacb6dc5924d9a686dce-Abstract-Conference.html","https://github.com/mateoespinosa/cem","Trains concept embeddings to respond better to interventions."
"Probabilistic Concept Bottleneck Models","2023","ICML","uncertainty","mature","https://proceedings.mlr.press/v202/kim23g.html","","Adds probabilistic treatment of concept bottlenecks."
"Language in a Bottle","2023","CVPR","scaling","mature","https://openaccess.thecvf.com/content/CVPR2023/html/Yang_Language_in_a_Bottle_Language_Model_Guided_Concept_Bottlenecks_for_CVPR_2023_paper.html","","Uses language models to generate image concept bottlenecks."
"Faithful Vision-Language Interpretation via Concept Bottleneck Models","2024","ICLR","concept quality","mature","https://openreview.net/forum?id=rp0EdI8X4e","","Defines a stricter faithful vision-language concept interface."
"Incremental Residual Concept Bottleneck Models","2024","CVPR","bottleneck validity","mature","https://openaccess.thecvf.com/content/CVPR2024/html/Shang_Incremental_Residual_Concept_Bottleneck_Models_CVPR_2024_paper.html","","Makes residual non-concept information explicit."
"Energy-Based Concept Bottleneck Models","2024","ICLR","bottleneck validity","mature","https://openreview.net/forum?id=I1quoTXZzc","https://github.com/xmed-lab/ECBM","Models concept dependencies and interventions with energy-based structure."
"VLG-CBM","2024","NeurIPS","scaling","mature","https://proceedings.neurips.cc/paper_files/paper/2024/hash/90043ebd68500f9efe84fedf860a64f3-Abstract-Conference.html","https://github.com/Trustworthy-ML-Lab/VLG-CBM","Adds vision-language grounding and evaluation for scalable CBM training."
"Stochastic Concept Bottleneck Models","2024","NeurIPS","uncertainty","mature","https://proceedings.neurips.cc/paper_files/paper/2024/hash/5c7894ac8788555f1cecf536f1e0fd35-Abstract-Conference.html","https://github.com/mvandenhi/SCBM","Models correlated concept uncertainty and intervention propagation."
"Relational Concept Bottleneck Models","2024","NeurIPS","bottleneck validity","mature","https://proceedings.neurips.cc/paper_files/paper/2024/hash/8deff86036ee6a73cda883dc7d2d6b07-Abstract-Conference.html","","Adds relational structure among concepts."
"Coarse-to-Fine Concept Bottleneck Models","2024","NeurIPS","concept quality","mature","https://proceedings.neurips.cc/paper_files/paper/2024/hash/bdeab378efe6eb289714e2a5abc6ed42-Abstract-Conference.html","","Adds hierarchical concept structure."
"BEARS","2024","UAI","benchmarks","mature","https://proceedings.mlr.press/v244/marconato24a.html","","Benchmarks reasoning shortcuts in neuro-symbolic models."
"A Neuro-Symbolic Benchmark Suite for Concept Quality and Reasoning Shortcuts","2024","NeurIPS","benchmarks","mature","https://proceedings.neurips.cc/paper_files/paper/2024/hash/d1d11bf8299334d354949ba8738e8301-Abstract-Datasets_and_Benchmarks_Track.html","","Provides benchmark support for concept quality and shortcut auditing."
"An Analysis of Concept Bottleneck Models: Measuring, Understanding, and Mitigating the Impact of Noisy Annotations","2025","NeurIPS","concept quality","emerging","https://openreview.net/forum?id=s3TvewYDKk","","Studies noisy concept annotation as a reliability risk."
"Causally Reliable Concept Bottleneck Models","2025","NeurIPS","bottleneck validity","emerging","https://openreview.net/forum?id=UX143QGvb8","https://github.com/gdefe/causally-reliable-cbm","Adds causal structure to improve intervention reliability."
"Avoiding Leakage Poisoning","2025","ICML","intervention realism","emerging","https://openreview.net/forum?id=7mxDGiF01U&noteId=t5cWRSRpJT","https://github.com/mateoespinosa/cem","Shows concept interventions can fail under distribution shift."
"CONDA","2025","ICLR","uncertainty and shift","emerging","https://openreview.net/forum?id=8sfc8MwG5v","","Adapts foundation-model concept bottlenecks under distribution shift."
"Editable Concept Bottleneck Models","2025","ICML","intervention realism","emerging","https://proceedings.mlr.press/v267/hu25u.html","","Uses concept-level edits as a model update mechanism."
"Deferring Concept Bottleneck Models","2025","NeurIPS","intervention realism","emerging","https://openreview.net/forum?id=QdfdwsboOE","","Connects concept intervention with imperfect expert deferral."
"Semi-supervised Concept Bottleneck Models","2025","ICCV","scaling","emerging","https://openaccess.thecvf.com/content/ICCV2025/html/Hu_Semi-supervised_Concept_Bottleneck_Models_ICCV_2025_paper.html","","Reduces concept annotation requirements with semi-supervised learning."
"Language Guided Concept Bottleneck Models for Interpretable Continual Learning","2025","CVPR","frontier stress tests","emerging","https://openaccess.thecvf.com/content/CVPR2025/html/Yu_Language_Guided_Concept_Bottleneck_Models_for_Interpretable_Continual_Learning_CVPR_2025_paper.html","https://github.com/FisherCats/CLG-CBM","Tests language-guided concepts under continual learning."
"Interpretable Generative Models through Post-hoc Concept Bottlenecks","2025","CVPR","frontier stress tests","emerging","https://openaccess.thecvf.com/content/CVPR2025/html/Kulkarni_Interpretable_Generative_Models_through_Post-hoc_Concept_Bottlenecks_CVPR_2025_paper.html","","Extends post-hoc concept interfaces to generative models."
"Multimodal Concept Bottleneck Models","2025","NeurIPS workshop","frontier stress tests","frontier","https://openreview.net/forum?id=6r2ercqOo8","","Tests CBM assumptions in multimodal settings."
"Concept Bottleneck Generative Models","2024","ICLR","frontier stress tests","frontier","https://openreview.net/forum?id=6KG8YqEafn","","Extends concept bottlenecks from classification to generation."
"Multimodal Deception in Explainable AI","2026","TMLR","security","frontier","https://openreview.net/forum?id=64ec7189fe460c57949df59db5ad5d2ca4154069","","Studies concept-level backdoor attacks against CBMs."
"There Was Never a Bottleneck in Concept Bottleneck Models","2026","ICLR","bottleneck validity","frontier","https://openreview.net/forum?id=Fy7V5dalvX","","Critiques whether classical CBMs implement a genuine bottleneck."
"Concepts' Information Bottleneck Models","2026","ICLR","bottleneck validity","frontier","https://openreview.net/forum?id=JGIYfwaNpT","","Uses information bottleneck pressure to reduce leakage."
"Credal Concept Bottleneck Models","2026","arXiv","uncertainty","frontier","https://arxiv.org/abs/2602.11219","","Separates epistemic and aleatoric uncertainty in concept bottlenecks."
"Concept-based Explainable Artificial Intelligence: A Survey","2025","ACM Computing Surveys","survey","mature","https://doi.org/10.1145/3774643","","Surveys concept-based XAI beyond CBMs."
"What's in the Bottle? A Survey and Roadmap of Concept Bottleneck Models","2026","OpenReview preprint","survey","frontier","https://openreview.net/forum?id=IF5vnqxBEW","","Provides a CBM-specific survey and roadmap."
